id_matricula,fecha,observaciones
1943OAO,2009-01-21,improperly regulated lights
4309OEE,2011-05-14,"excess smoke, broken hand brake"
7981IOE,2011-05-29,No se especificaron observaciones
9117UEE,2007-01-31,"defective bulb, broken hand brake"
7919AEO,2011-10-22,No se especificaron observaciones
6560AII,2010-03-23,spoiled engine
9200IIA,2009-11-28,exhaust pipe
3667IIE,2007-05-22,"windshield in poor condition, exhaust pipe, broken headlight"
5944EOE,2008-11-26,No se especificaron observaciones
3043OOI,2006-02-26,exhaust pipe
4734UAO,2011-02-25,No se especificaron observaciones
4519AIU,2006-04-28,"windshield in poor condition, accessories not allowed"
7283OOE,2010-09-20,No se especificaron observaciones
2698UEA,2009-01-30,"damaged license plate, broken hand brake"
8533AOE,2009-10-27,"minor faults, exhaust pipe"
9959UOU,2010-07-25,minor faults
7493AUE,2012-01-28,"excess smoke, damaged chassis"
8448OEU,2011-09-29,"windshield in poor condition, broken hand brake"
3667IIE,2007-04-24,minor faults
1072IOA,2010-07-27,No se especificaron observaciones
6891AIU,2010-06-05,No se especificaron observaciones
2950AAO,2009-09-28,"damaged chassis, broken headlight"
4481IEE,2011-03-28,No se especificaron observaciones
8691OEI,2011-08-28,No se especificaron observaciones
5279OUE,2007-04-21,minor faults
9336IIU,2008-11-22,"improperly regulated lights, cirulillo  of distribuitor failure, accessories not allowed"
3195EOU,2006-02-28,"improperly regulated lights, damaged chassis"
3242OEU,2007-12-16,"excess smoke, spoiled engine"
1675EOA,2010-12-30,"improperly regulated lights, insufficient braking"
3202OUU,2007-12-28,No se especificaron observaciones
9534OIE,2008-08-25,"improperly regulated lights, accessories not allowed"
1369IUA,2010-10-26,accessories not allowed
1329EUA,2007-01-30,"worn tires, spoiled engine"
1675EOA,2010-12-30,"cirulillo  of distribuitor failure, broken hand brake"
4639AEE,2010-12-06,No se especificaron observaciones
2877AIA,2008-01-28,exhaust pipe
5303EIO,2011-11-22,No se especificaron observaciones
6118UAA,2011-07-19,minor faults
7375OAI,2010-11-07,No se especificaron observaciones
4304AOI,2010-06-07,No se especificaron observaciones
1369OAU,2007-06-27,No se especificaron observaciones
5290OEU,2009-10-28,"minor faults, defective bulb, broken headlight"
6882IUI,2011-03-24,"improperly regulated lights, exhaust pipe, broken hand brake"
4639AEE,2010-12-06,No se especificaron observaciones
3929OOO,2011-03-02,No se especificaron observaciones
0703OEU,2006-09-30,"worn tires, spoiled engine, exhaust pipe"
5755OII,2008-11-29,insufficient braking
0383IOU,2010-04-29,No se especificaron observaciones
5338IEI,2011-01-31,No se especificaron observaciones
1695OEI,2009-04-24,No se especificaron observaciones
7376AEU,2007-02-17,exhaust pipe
7607OAA,2008-07-29,spoiled engine
6317EUO,2011-07-03,No se especificaron observaciones
5844EIA,2011-11-21,"minor faults, accessories not allowed"
1858UEA,2009-02-26,"spoiled engine, windshield in poor condition, damaged license plate"
2539EOE,2011-12-28,windshield in poor condition
8489EAU,2010-12-24,"minor faults, damaged chassis, damaged license plate"
7375OAI,2010-11-07,No se especificaron observaciones
1650OEI,2009-12-25,"minor faults, cirulillo  of distribuitor failure"
7757IAI,2011-04-28,"windshield in poor condition, broken headlight"
9200IIA,2009-11-27,excess smoke
0062OEA,2010-07-23,damaged chassis
0098EUA,2011-06-23,"improperly regulated lights, minor faults"
0062OEA,2010-07-21,excess smoke
5755OII,2008-11-21,"spoiled engine, exhaust pipe"
0438IAO,2011-03-12,No se especificaron observaciones
5329UEU,2011-02-28,cirulillo  of distribuitor failure
9599EAA,2011-12-31,damaged license plate
1405AOU,2011-08-26,"spoiled engine, insufficient braking"
1564AII,2011-03-16,damaged chassis
2543OUU,2010-10-16,No se especificaron observaciones
0431UIE,2007-08-29,insufficient braking
3204OUA,2010-08-29,"windshield in poor condition, defective bulb"
7835UUA,2011-02-27,"windshield in poor condition, broken hand brake"
3346AOO,2010-07-17,defective bulb
3949IOE,2010-09-10,worn tires
4366UII,2006-09-30,exhaust pipe
1103EEA,2010-09-19,minor faults
8828OIA,2010-09-16,"spoiled engine, broken hand brake"
1943OAO,2009-01-29,broken hand brake
0619IEO,2010-09-12,No se especificaron observaciones
1369OAU,2011-06-23,"spoiled engine, exhaust pipe"
5338IEI,2011-01-31,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
0473AEO,2008-01-31,"worn tires, insufficient braking"
0062OEA,2010-07-21,"excess smoke, damaged chassis"
5338IEI,2011-01-31,No se especificaron observaciones
7283OOE,2010-09-20,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
1717III,2006-08-23,windshield in poor condition
0716AUU,2008-06-25,insufficient braking
5999AAI,2011-12-06,No se especificaron observaciones
9599EAA,2011-12-31,"windshield in poor condition, cirulillo  of distribuitor failure"
5823AEO,2007-05-28,No se especificaron observaciones
7372OEI,2007-12-26,excess smoke
7757IAI,2011-04-28,damaged chassis
0383IOU,2010-04-29,No se especificaron observaciones
6797EIU,2010-06-17,No se especificaron observaciones
2370AOA,2010-08-20,No se especificaron observaciones
6818EAU,2011-05-03,defective bulb
1244UEO,2011-06-14,"excess smoke, exhaust pipe"
7608OAU,2011-01-14,No se especificaron observaciones
1480EUA,2006-05-31,No se especificaron observaciones
5329UEU,2011-02-28,No se especificaron observaciones
5755OII,2010-11-16,No se especificaron observaciones
7494UEU,2011-02-28,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
3219AEO,2011-09-07,"excess smoke, defective bulb"
8448OEU,2011-09-29,"minor faults, damaged chassis"
3722EAE,2009-07-20,windshield in poor condition
0861EUI,2010-07-21,No se especificaron observaciones
3523OOE,2011-08-30,No se especificaron observaciones
6279OUE,2011-01-05,"spoiled engine, broken hand brake"
2339OOI,2007-08-26,No se especificaron observaciones
4304AOI,2009-06-18,exhaust pipe
6118UAA,2011-07-19,defective bulb
0062OEA,2010-07-11,"windshield in poor condition, defective bulb"
9063AOI,2011-08-28,No se especificaron observaciones
4483AIO,2012-01-24,No se especificaron observaciones
0619IEO,2010-09-12,No se especificaron observaciones
7789UAO,2008-08-26,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
6055EOO,2009-11-22,broken headlight
1943OAO,2009-02-18,No se especificaron observaciones
1943OAO,2009-01-31,No se especificaron observaciones
4640EUA,2008-06-27,improperly regulated lights
3732IUO,2009-07-21,"excess smoke, minor faults, broken headlight, accessories not allowed"
5999AAI,2011-12-06,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
9038OUI,2011-09-29,accessories not allowed
1858UEA,2009-02-28,broken hand brake
7789UAO,2008-08-30,"spoiled engine, broken hand brake"
3451OIO,2008-12-27,"minor faults, defective bulb"
7607OAA,2008-07-30,worn tires
4776EUI,2006-11-26,"windshield in poor condition, exhaust pipe"
4702OIA,2010-11-14,broken headlight
9495AIA,2010-09-02,No se especificaron observaciones
6317EUO,2011-07-03,No se especificaron observaciones
9834EUO,2008-01-07,"exhaust pipe, cirulillo  of distribuitor failure"
4978AUI,2011-02-11,No se especificaron observaciones
8775UUI,2011-08-16,No se especificaron observaciones
1717III,2006-08-31,"spoiled engine, broken headlight"
5823AEO,2011-05-21,"damaged chassis, broken headlight"
0344UEE,2011-01-25,"damaged license plate, broken headlight, broken hand brake"
9519OEE,2008-10-26,worn tires
6880OUO,2009-01-21,"exhaust pipe, accessories not allowed"
5862IOU,2010-07-22,No se especificaron observaciones
9534OIE,2011-08-19,"excess smoke, broken hand brake"
0206OOE,2007-07-30,improperly regulated lights
3219AEO,2010-08-25,"damaged license plate, broken headlight"
5303EIO,2011-11-22,"minor faults, defective bulb"
5350OAE,2007-10-20,defective bulb
0398EUI,2011-04-24,"damaged license plate, defective bulb, broken headlight, insufficient braking"
0431UIE,2007-08-28,accessories not allowed
6829IOA,2006-04-29,"spoiled engine, broken headlight, broken hand brake"
3422AEU,2011-10-05,No se especificaron observaciones
6818EAU,2010-04-30,damaged chassis
3202OUU,2011-12-22,minor faults
1675EOA,2010-12-30,"worn tires, broken hand brake"
6734OUU,2007-07-16,"damaged license plate, exhaust pipe"
6560AII,2010-03-28,broken headlight
8960AEO,2011-06-10,No se especificaron observaciones
9200IIA,2010-11-26,No se especificaron observaciones
3797UOE,2011-03-27,insufficient braking
2970EUI,2011-08-28,excess smoke
9105UIU,2006-11-29,"spoiled engine, broken headlight"
0718UUE,2011-03-18,No se especificaron observaciones
5828EEE,2011-01-30,"spoiled engine, exhaust pipe"
0344UEE,2011-01-22,"worn tires, excess smoke, accessories not allowed"
6882IUI,2011-03-24,"excess smoke, exhaust pipe"
0431UIE,2007-09-20,broken hand brake
3722EAE,2009-07-21,accessories not allowed
3797UOE,2011-03-27,"worn tires, improperly regulated lights"
1497IUA,2008-02-15,No se especificaron observaciones
4334OUU,2007-06-29,"damaged license plate, broken headlight, exhaust pipe"
1405AOU,2011-08-26,"windshield in poor condition, insufficient braking"
4639AEE,2010-12-06,No se especificaron observaciones
7607OAA,2011-07-24,spoiled engine
1858UEA,2011-02-23,cirulillo  of distribuitor failure
0020AUA,2007-01-29,"spoiled engine, insufficient braking"
7757IAI,2011-04-28,"broken headlight, broken hand brake"
0566EAU,2008-08-21,"broken headlight, insufficient braking"
5716IEO,2006-12-25,accessories not allowed
0398EUI,2010-04-28,"damaged license plate, cirulillo  of distribuitor failure"
4978AUI,2011-02-11,No se especificaron observaciones
0609OUU,2011-10-29,windshield in poor condition
5999AAI,2011-12-06,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
8177AAO,2008-06-20,minor faults
1405AOU,2010-08-31,improperly regulated lights
3242OEU,2007-12-25,"minor faults, windshield in poor condition"
4333EUU,2010-01-12,spoiled engine
2458AEU,2008-08-30,insufficient braking
1103EEA,2010-09-19,"spoiled engine, minor faults, broken headlight, cirulillo  of distribuitor failure"
4640EUA,2011-06-13,"spoiled engine, insufficient braking"
1369IUA,2010-10-27,"worn tires, exhaust pipe, broken headlight"
7372AEU,2006-04-30,accessories not allowed
7696UOA,2010-08-01,No se especificaron observaciones
7981IOE,2011-05-29,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
9834EUO,2007-12-20,"damaged license plate, broken hand brake"
6864AIU,2011-07-18,"worn tires, damaged license plate, broken hand brake"
1564AII,2009-03-20,spoiled engine
1369OAU,2011-06-23,windshield in poor condition
5755OII,2008-11-24,broken headlight
7283OOE,2010-09-20,No se especificaron observaciones
4978AUI,2011-02-11,No se especificaron observaciones
0062OEA,2010-06-27,"minor faults, damaged chassis"
6205AIA,2010-06-26,No se especificaron observaciones
3283IAA,2009-12-18,"damaged chassis, accessories not allowed"
6320UOU,2010-05-21,"damaged chassis, broken hand brake"
3797UOE,2011-03-27,minor faults
9237OAU,2007-05-06,No se especificaron observaciones
3523OOE,2011-08-30,No se especificaron observaciones
7163UUU,2011-10-07,"defective bulb, exhaust pipe, cirulillo  of distribuitor failure"
4166UOU,2010-12-29,"worn tires, cirulillo  of distribuitor failure"
4166UOU,2006-12-30,"damaged chassis, cirulillo  of distribuitor failure"
4333EUU,2010-01-19,"damaged chassis, cirulillo  of distribuitor failure"
6317EUO,2011-07-03,No se especificaron observaciones
6205AIA,2010-06-26,"minor faults, cirulillo  of distribuitor failure"
2973AAI,2007-10-27,"exhaust pipe, insufficient braking, broken hand brake"
7376AEU,2007-01-29,No se especificaron observaciones
2539EOE,2011-12-28,"improperly regulated lights, excess smoke, defective bulb"
7608OAU,2011-01-14,No se especificaron observaciones
6317EUO,2011-07-03,No se especificaron observaciones
9454IIE,2006-12-27,"improperly regulated lights, damaged chassis, broken hand brake, cirulillo  of distribuitor failure"
5338IEI,2011-01-31,No se especificaron observaciones
5338IEI,2011-01-31,No se especificaron observaciones
5863AII,2010-07-01,No se especificaron observaciones
3929OOO,2011-03-02,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
9787IEE,2007-08-29,defective bulb
0398EUI,2011-04-24,"excess smoke, damaged chassis, defective bulb, exhaust pipe"
6829IOA,2006-04-26,spoiled engine
9834EUO,2007-12-25,accessories not allowed
3812EIU,2006-09-29,exhaust pipe
3219AEO,2011-09-07,cirulillo  of distribuitor failure
4304AOI,2009-06-12,minor faults
9861AUO,2010-12-03,No se especificaron observaciones
0619IEO,2010-09-12,No se especificaron observaciones
3295IOE,2010-11-02,No se especificaron observaciones
9105UIU,2006-11-24,"windshield in poor condition, broken headlight"
9861AUO,2010-12-03,No se especificaron observaciones
1117IAU,2008-01-20,"spoiled engine, defective bulb"
5828EEE,2011-01-30,insufficient braking
1536UII,2008-07-28,"improperly regulated lights, excess smoke, broken headlight"
6095EAE,2010-05-24,damaged license plate
0431UIE,2007-08-24,"spoiled engine, damaged chassis"
9063AOI,2011-08-28,No se especificaron observaciones
9063AOI,2011-08-28,No se especificaron observaciones
1480EUA,2006-05-31,excess smoke
2339OOI,2010-08-22,"worn tires, cirulillo  of distribuitor failure"
5716IEO,2006-12-27,damaged chassis
3797UOE,2007-03-30,"damaged chassis, exhaust pipe, broken headlight, broken hand brake"
7919AEO,2011-10-22,No se especificaron observaciones
2970EUI,2011-08-28,"spoiled engine, exhaust pipe"
3667IIE,2007-05-13,damaged chassis
8177AAO,2008-06-29,"worn tires, insufficient braking, broken hand brake"
9855AIE,2011-08-26,No se especificaron observaciones
9454IIE,2006-12-30,"improperly regulated lights, excess smoke"
1556IAI,2008-01-31,broken hand brake
3812EIU,2010-09-28,defective bulb
6882IUI,2007-03-30,No se especificaron observaciones
5944EOE,2008-11-21,accessories not allowed
3043OOI,2006-03-10,"excess smoke, accessories not allowed"
0473AEO,2011-01-26,"spoiled engine, accessories not allowed, insufficient braking"
9200IIA,2010-11-26,"damaged chassis, broken hand brake"
7376AEU,2007-01-31,cirulillo  of distribuitor failure
0062OEA,2010-06-29,"improperly regulated lights, insufficient braking"
9495AIA,2010-09-02,No se especificaron observaciones
4450AAE,2008-11-30,accessories not allowed
6118UAA,2011-07-19,"excess smoke, exhaust pipe"
8533AOE,2009-10-22,accessories not allowed
9063AOI,2011-08-28,No se especificaron observaciones
8489EAU,2010-12-18,cirulillo  of distribuitor failure
9519OEE,2008-10-24,exhaust pipe
0619IEO,2010-09-12,No se especificaron observaciones
3949IOE,2010-08-27,No se especificaron observaciones
1675EOA,2010-12-30,"windshield in poor condition, minor faults"
6818EAU,2011-05-03,"damaged chassis, defective bulb, broken headlight"
6279OUE,2010-01-15,"improperly regulated lights, minor faults, defective bulb"
8775UUI,2011-08-16,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
9237OAU,2007-05-11,spoiled engine
9707OOI,2010-06-23,No se especificaron observaciones
0718UUE,2011-03-18,No se especificaron observaciones
6882IUI,2007-03-28,No se especificaron observaciones
9778OEI,2006-07-18,windshield in poor condition
8784IUI,2007-10-25,"improperly regulated lights, damaged chassis"
7608OAU,2011-01-14,No se especificaron observaciones
4304AOI,2009-06-22,"excess smoke, accessories not allowed"
6882IUI,2011-03-24,"spoiled engine, minor faults"
0772EOE,2011-07-13,No se especificaron observaciones
7250EOE,2009-10-27,insufficient braking
5279OUE,2007-03-31,minor faults
7376AEU,2007-02-20,improperly regulated lights
9495AIA,2010-09-02,No se especificaron observaciones
3422AEU,2011-10-05,No se especificaron observaciones
4785UUA,2011-08-21,No se especificaron observaciones
5863AII,2010-07-01,No se especificaron observaciones
2970EUI,2007-08-30,"improperly regulated lights, cirulillo  of distribuitor failure"
7372AEU,2011-04-27,"improperly regulated lights, minor faults, insufficient braking, broken hand brake"
0716AUU,2010-06-17,cirulillo  of distribuitor failure
0946UOU,2010-08-29,"broken headlight, accessories not allowed"
5828EEE,2011-01-30,accessories not allowed
4280EUI,2012-01-12,No se especificaron observaciones
5853OII,2010-07-26,accessories not allowed
9105UIU,2006-11-26,cirulillo  of distribuitor failure
4481IEE,2011-03-28,No se especificaron observaciones
3043OOI,2006-02-27,windshield in poor condition
8489EAU,2010-12-20,"defective bulb, accessories not allowed"
7163UUU,2010-09-23,improperly regulated lights
4640EUA,2008-05-30,No se especificaron observaciones
6111IAI,2011-12-26,"minor faults, insufficient braking"
5938AOI,2009-03-26,excess smoke
7493AUE,2012-01-28,"broken headlight, accessories not allowed"
6817EUA,2006-09-28,"insufficient braking, cirulillo  of distribuitor failure"
8506OUO,2011-10-31,"excess smoke, exhaust pipe, cirulillo  of distribuitor failure"
5740AUA,2010-09-14,No se especificaron observaciones
0728IOU,2008-07-27,excess smoke
3242OEU,2007-12-26,No se especificaron observaciones
3949IOE,2010-09-11,cirulillo  of distribuitor failure
2955AUA,2010-07-29,"worn tires, accessories not allowed"
0344UEE,2012-01-17,improperly regulated lights
1802IAU,2009-10-21,improperly regulated lights
6118UAA,2011-07-19,excess smoke
6464AIA,2008-11-22,No se especificaron observaciones
5119AUI,2011-05-17,No se especificaron observaciones
1556IAI,2008-01-29,"excess smoke, minor faults, windshield in poor condition"
0935IOA,2011-05-19,"damaged chassis, defective bulb, accessories not allowed"
7494UEU,2011-02-28,No se especificaron observaciones
2950AAO,2009-09-23,"windshield in poor condition, broken headlight, exhaust pipe"
2950AAO,2010-09-18,"spoiled engine, damaged license plate"
3219AEO,2010-08-30,worn tires
5303EIO,2010-11-27,"windshield in poor condition, damaged chassis, insufficient braking"
7376AEU,2007-01-29,exhaust pipe
3422AEU,2011-10-05,No se especificaron observaciones
1943OAO,2009-01-26,No se especificaron observaciones
5526UOU,2009-04-30,No se especificaron observaciones
4978AUI,2011-02-11,No se especificaron observaciones
9519IEI,2011-11-26,No se especificaron observaciones
9218OIA,2011-10-30,"insufficient braking, accessories not allowed"
6118UAA,2011-07-19,No se especificaron observaciones
6829IOA,2006-05-14,"improperly regulated lights, windshield in poor condition"
5853OII,2010-08-17,"spoiled engine, minor faults, cirulillo  of distribuitor failure"
6525AEI,2008-10-23,"spoiled engine, insufficient braking"
5525OUO,2009-07-17,broken hand brake
6818EAU,2010-05-04,No se especificaron observaciones
5526UOU,2009-05-21,"excess smoke, broken headlight"
6279OUE,2010-01-17,"windshield in poor condition, exhaust pipe"
0098EUA,2008-06-29,"minor faults, exhaust pipe, accessories not allowed"
7494UEU,2011-02-28,No se especificaron observaciones
0946UOU,2010-08-29,"excess smoke, exhaust pipe"
7789UAO,2008-08-17,worn tires
2261EOI,2011-05-30,"damaged license plate, accessories not allowed"
8533AOE,2010-11-05,"spoiled engine, accessories not allowed"
9038OUI,2011-09-29,"damaged chassis, broken headlight"
9861AUO,2010-12-03,No se especificaron observaciones
0122IIA,2006-12-26,improperly regulated lights
0062OEA,2010-07-15,broken headlight
9454IIE,2010-12-17,"defective bulb, exhaust pipe"
4309OEE,2008-04-30,"minor faults, accessories not allowed, cirulillo  of distribuitor failure"
0619IEO,2010-09-12,No se especificaron observaciones
9778OEI,2006-06-30,excess smoke
8173OAU,2010-08-27,exhaust pipe
8953EIU,2010-09-17,No se especificaron observaciones
6734OUU,2007-07-14,"minor faults, accessories not allowed"
4639AEE,2010-12-06,No se especificaron observaciones
1810AUI,2010-07-24,No se especificaron observaciones
0772EOE,2011-07-13,No se especificaron observaciones
7919AEO,2011-10-22,No se especificaron observaciones
1306OEE,2007-02-27,excess smoke
4785UUA,2011-08-21,No se especificaron observaciones
4366UII,2006-09-24,accessories not allowed
3523OOE,2011-08-30,"exhaust pipe, insufficient braking"
0020AUA,2007-01-29,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
3283IAA,2009-12-22,exhaust pipe
2893EII,2006-12-28,No se especificaron observaciones
6880OUO,2009-01-16,"windshield in poor condition, cirulillo  of distribuitor failure"
2925UEO,2009-12-24,"spoiled engine, excess smoke"
9534OIE,2011-08-19,broken hand brake
2583UIO,2006-09-23,"improperly regulated lights, damaged license plate"
7375OAI,2010-11-07,No se especificaron observaciones
8419EIE,2011-04-13,No se especificaron observaciones
2339OOI,2007-08-25,No se especificaron observaciones
1695OEI,2010-05-05,No se especificaron observaciones
3346AOO,2010-07-28,"worn tires, accessories not allowed"
5755OII,2008-11-25,No se especificaron observaciones
9519OEE,2008-10-25,damaged chassis
7789UAO,2008-08-31,"windshield in poor condition, broken hand brake"
6525AEI,2008-10-28,"damaged chassis, cirulillo  of distribuitor failure"
2583UIO,2006-09-28,"spoiled engine, accessories not allowed"
5303EIO,2011-11-22,"defective bulb, broken headlight"
8140AOE,2010-04-30,No se especificaron observaciones
9707OOI,2010-06-23,No se especificaron observaciones
3219AEO,2010-09-14,worn tires
5526UOU,2009-04-29,accessories not allowed
5408EII,2010-10-30,No se especificaron observaciones
4166UOU,2006-12-30,No se especificaron observaciones
9063AOI,2011-08-28,No se especificaron observaciones
5408EII,2010-10-30,"exhaust pipe, cirulillo  of distribuitor failure"
0098EUA,2011-06-23,spoiled engine
7757IAI,2011-04-28,"damaged license plate, insufficient braking"
3195EOU,2006-03-22,cirulillo  of distribuitor failure
3195EOU,2006-03-20,"minor faults, cirulillo  of distribuitor failure"
1286OEO,2012-01-24,"accessories not allowed, cirulillo  of distribuitor failure"
7121UAU,2009-09-11,No se especificaron observaciones
7919AEO,2011-10-22,No se especificaron observaciones
7919AEO,2011-10-22,No se especificaron observaciones
3523OOE,2011-08-30,accessories not allowed
7493AUE,2012-01-28,No se especificaron observaciones
8111EAA,2008-06-23,"windshield in poor condition, damaged chassis, broken headlight"
9237OAU,2007-04-22,exhaust pipe
8960AEO,2011-06-10,No se especificaron observaciones
4702OIA,2009-11-18,No se especificaron observaciones
9733UAO,2011-10-29,"exhaust pipe, cirulillo  of distribuitor failure"
9218OIA,2011-10-30,No se especificaron observaciones
0431UIE,2007-09-19,No se especificaron observaciones
3667IIE,2007-05-19,No se especificaron observaciones
3667IIE,2007-04-23,"worn tires, broken hand brake"
0122IIA,2006-12-31,"damaged chassis, broken headlight, broken hand brake"
9237OAU,2007-04-25,"exhaust pipe, insufficient braking"
4237EIO,2010-12-02,No se especificaron observaciones
4237EIO,2010-12-02,No se especificaron observaciones
4639AEE,2010-12-06,No se especificaron observaciones
6493OEA,2011-08-30,"excess smoke, minor faults"
1943OAO,2009-02-19,"excess smoke, accessories not allowed, insufficient braking"
3283IAA,2009-12-15,No se especificaron observaciones
7835UUA,2011-02-27,"excess smoke, defective bulb, insufficient braking"
6206EOU,2010-06-18,"excess smoke, minor faults, defective bulb"
4776EUI,2006-11-27,No se especificaron observaciones
6111IAI,2008-12-29,No se especificaron observaciones
0718UUE,2011-03-18,No se especificaron observaciones
8533AOE,2009-10-23,"exhaust pipe, broken headlight"
8140AOE,2010-04-30,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
5867AUU,2011-01-23,"damaged license plate, damaged chassis, insufficient braking"
8668OEE,2008-12-14,improperly regulated lights
1943OAO,2009-01-22,damaged chassis
1536UII,2008-08-12,insufficient braking
2955AUA,2010-07-30,windshield in poor condition
7789UAO,2008-08-31,"worn tires, exhaust pipe"
2893EII,2006-12-18,defective bulb
6880OUO,2009-01-28,No se especificaron observaciones
0946UOU,2010-08-29,"damaged chassis, defective bulb"
5938AOI,2009-04-13,minor faults
2925UEO,2009-12-14,accessories not allowed
7757IAI,2011-04-28,"improperly regulated lights, cirulillo  of distribuitor failure"
2925UEO,2009-11-30,damaged license plate
6817EUA,2006-09-28,"worn tires, damaged chassis"
3043OOI,2006-02-22,No se especificaron observaciones
6882IUI,2007-03-28,"minor faults, broken hand brake, accessories not allowed"
3242OEU,2007-12-26,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
7376AEU,2007-02-21,minor faults
7608OAU,2011-01-14,No se especificaron observaciones
1556IAI,2008-01-30,"spoiled engine, accessories not allowed"
9733UAO,2011-10-29,"insufficient braking, cirulillo  of distribuitor failure"
0122IIA,2006-12-24,worn tires
1329EUA,2007-02-20,excess smoke
6797EIU,2010-06-17,No se especificaron observaciones
4776EUI,2006-11-27,defective bulb
9733UAO,2011-10-29,worn tires
0383IOU,2010-04-29,No se especificaron observaciones
5119AUI,2011-05-17,No se especificaron observaciones
5119AUI,2011-05-17,No se especificaron observaciones
5154AEO,2010-05-21,No se especificaron observaciones
9834EUO,2008-01-17,"worn tires, cirulillo  of distribuitor failure"
2950AAO,2010-09-18,No se especificaron observaciones
0861EUI,2010-07-21,No se especificaron observaciones
5338IEI,2011-01-31,No se especificaron observaciones
7250EOE,2009-11-19,"damaged chassis, accessories not allowed"
1695OEI,2009-05-11,No se especificaron observaciones
1103EEA,2010-09-19,"improperly regulated lights, broken headlight"
1103EEA,2009-09-20,minor faults
7493AUE,2012-01-28,"spoiled engine, windshield in poor condition, defective bulb, cirulillo  of distribuitor failure"
5828EEE,2011-01-30,No se especificaron observaciones
6880OUO,2009-01-28,accessories not allowed
6525AEI,2008-10-30,"broken headlight, insufficient braking"
5387EAA,2008-06-25,"worn tires, windshield in poor condition"
4734UAO,2011-02-25,No se especificaron observaciones
7696UOA,2010-08-01,No se especificaron observaciones
0398EUI,2011-04-24,"spoiled engine, broken headlight"
7163UUU,2011-10-07,No se especificaron observaciones
2583UIO,2006-09-23,windshield in poor condition
5862IOU,2010-07-22,No se especificaron observaciones
3797UOE,2011-03-27,No se especificaron observaciones
6055EOO,2009-10-25,"exhaust pipe, insufficient braking"
2639AAA,2010-06-08,No se especificaron observaciones
2458AEU,2008-08-29,damaged license plate
9237OAU,2007-05-11,No se especificaron observaciones
6891AIU,2010-06-05,No se especificaron observaciones
6758UOE,2010-06-25,windshield in poor condition
9117UEE,2007-01-23,No se especificaron observaciones
7372OEI,2007-11-28,"worn tires, damaged license plate"
0383IOU,2010-04-29,No se especificaron observaciones
4481IEE,2011-03-28,No se especificaron observaciones
4450AAE,2010-12-12,"excess smoke, defective bulb"
1810AUI,2010-07-24,No se especificaron observaciones
6864AIU,2011-07-18,"insufficient braking, cirulillo  of distribuitor failure"
1286OEO,2012-01-24,"improperly regulated lights, windshield in poor condition, insufficient braking"
9834EUO,2007-12-31,"broken headlight, broken hand brake"
3667IIE,2007-04-28,"damaged license plate, exhaust pipe"
8177AAO,2008-06-21,"excess smoke, insufficient braking"
5999AAI,2011-12-06,No se especificaron observaciones
1858UEA,2009-02-24,"broken headlight, cirulillo  of distribuitor failure"
2970EUI,2011-08-28,"spoiled engine, improperly regulated lights, cirulillo  of distribuitor failure"
9200IIA,2010-11-26,"spoiled engine, damaged chassis"
3295IOE,2010-11-02,No se especificaron observaciones
3295IOE,2010-11-02,No se especificaron observaciones
5991OAE,2007-06-23,"improperly regulated lights, exhaust pipe"
7372OEI,2007-12-24,"minor faults, damaged license plate, broken hand brake"
5867AUU,2010-01-24,"spoiled engine, insufficient braking"
0583EAA,2008-08-21,"worn tires, damaged license plate, cirulillo  of distribuitor failure"
1480EUA,2006-05-30,damaged license plate
7034IUI,2010-05-16,"improperly regulated lights, damaged license plate"
4640EUA,2008-06-24,No se especificaron observaciones
6111IAI,2011-12-26,"minor faults, cirulillo  of distribuitor failure"
0098EUA,2011-06-23,"windshield in poor condition, minor faults"
0383IOU,2010-04-29,No se especificaron observaciones
0398EUI,2011-04-24,"minor faults, defective bulb, cirulillo  of distribuitor failure"
1369OAU,2011-06-23,"spoiled engine, accessories not allowed"
4519AIU,2006-04-25,"defective bulb, broken hand brake"
4640EUA,2011-06-13,"excess smoke, exhaust pipe, insufficient braking"
8140AOE,2010-04-30,No se especificaron observaciones
4734UAO,2011-02-25,No se especificaron observaciones
7607OAA,2008-07-30,"worn tires, minor faults, broken headlight"
3283IAA,2009-11-27,No se especificaron observaciones
7835UUA,2011-02-27,"worn tires, minor faults, damaged chassis"
7121UAU,2009-08-19,"spoiled engine, broken hand brake"
6891AIU,2010-06-05,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
5387EAA,2008-07-23,"windshield in poor condition, broken headlight"
